SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
BCLB-Liquor License Complaint,(blank),,11,,,,,
BCLB-Liquor License Complaint,Abell,5,3,2,10,,7,5
BCLB-Liquor License Complaint,Allendale,,1,,2,,,
BCLB-Liquor License Complaint,Arcadia,1,,,,,,
BCLB-Liquor License Complaint,Arlington,,,,,,1,5
BCLB-Liquor License Complaint,Auchentoroly-Parkwood,,,,,,,1
BCLB-Liquor License Complaint,Baltimore Highlands,31,68,46,57,24,29,15
BCLB-Liquor License Complaint,Barclay,1,1,2,,5,1,6
BCLB-Liquor License Complaint,Bayview,,4,10,3,1,3,1
BCLB-Liquor License Complaint,Belair-Edison,,4,2,,1,2,5
BCLB-Liquor License Complaint,Belair-Parkside,,,1,2,,,
BCLB-Liquor License Complaint,Bellona-Gittings,,4,2,,3,,
BCLB-Liquor License Complaint,Belvedere,4,,,,,,
BCLB-Liquor License Complaint,Berea,1,,1,1,2,1,
BCLB-Liquor License Complaint,Better Waverly,1,,,1,2,2,1
BCLB-Liquor License Complaint,Beverly Hills,2,,,1,,,2
BCLB-Liquor License Complaint,Biddle Street,,1,6,7,,,
BCLB-Liquor License Complaint,Bolton Hill,1,1,,,,1,
BCLB-Liquor License Complaint,Brewers Hill,9,18,6,,5,10,39
BCLB-Liquor License Complaint,Bridgeview/Greenlawn,1,,1,2,,2,2
BCLB-Liquor License Complaint,Broadway East,,,1,3,5,2,2
BCLB-Liquor License Complaint,Broening Manor,,,1,1,,1,
BCLB-Liquor License Complaint,Brooklyn,6,7,4,2,7,4,27
BCLB-Liquor License Complaint,Butcher's Hill,,,,2,,,1
BCLB-Liquor License Complaint,Callaway-Garrison,1,1,,,,,
BCLB-Liquor License Complaint,Canton,112,67,90,78,77,124,135
BCLB-Liquor License Complaint,Canton Industrial Area,17,22,31,41,37,22,21
BCLB-Liquor License Complaint,CARE,,,1,1,,,
BCLB-Liquor License Complaint,Carroll - Camden Industrial Area,2,,,2,,,3
BCLB-Liquor License Complaint,Carrollton Ridge,6,,21,4,1,,2
BCLB-Liquor License Complaint,Cedarcroft,,1,,,,,
BCLB-Liquor License Complaint,Cedmont,3,3,4,12,13,6,3
BCLB-Liquor License Complaint,Central Park Heights,2,4,1,2,,4,1
BCLB-Liquor License Complaint,Charles North,4,3,8,12,9,11,9
BCLB-Liquor License Complaint,Charles Village,2,1,,,2,15,25
BCLB-Liquor License Complaint,Cherry Hill,2,,,1,2,,
BCLB-Liquor License Complaint,Chinquapin Park,3,,,,,,1
BCLB-Liquor License Complaint,Citywide,871,933,673,832,632,839,1013
BCLB-Liquor License Complaint,Clifton Park,,,,3,,,
BCLB-Liquor License Complaint,Coldstream Homestead Montebello,1,,,,,2,
BCLB-Liquor License Complaint,Concerned Citizens Of Forest Park,,,,,,,1
BCLB-Liquor License Complaint,Coppin Heights/Ash-Co-East,1,,1,2,1,,
BCLB-Liquor License Complaint,Cross Keys,1,,,,,,
BCLB-Liquor License Complaint,Curtis Bay,2,3,2,6,4,6,2
BCLB-Liquor License Complaint,Darley Park,1,,,,,,
BCLB-Liquor License Complaint,Dolfield,,,,,,,1
BCLB-Liquor License Complaint,Downtown,28,14,23,22,30,44,164
BCLB-Liquor License Complaint,Downtown West,4,,4,,1,,2
BCLB-Liquor License Complaint,East Baltimore Midway,1,2,1,1,,2,4
BCLB-Liquor License Complaint,Easterwood,,,3,,,,1
BCLB-Liquor License Complaint,Eastwood,17,,1,8,2,1,1
BCLB-Liquor License Complaint,Edgewood,1,,2,,,,
BCLB-Liquor License Complaint,Edmondson Village,,,,1,,,
BCLB-Liquor License Complaint,Ellwood Park/Monument,1,1,1,1,,2,3
BCLB-Liquor License Complaint,Fairfield Area,,,1,,,,
BCLB-Liquor License Complaint,Fallstaff,,1,2,,,,
BCLB-Liquor License Complaint,Federal Hill,33,8,20,26,51,63,49
BCLB-Liquor License Complaint,Fells Point,20,48,57,159,78,37,65
BCLB-Liquor License Complaint,Forest Park,1,,1,3,,8,1
BCLB-Liquor License Complaint,Four By Four,,,,5,1,,
BCLB-Liquor License Complaint,Frankford,53,50,21,22,15,24,6
BCLB-Liquor License Complaint,Franklin Square,,,,1,2,,1
BCLB-Liquor License Complaint,Franklintown Road,,,1,1,,,7
BCLB-Liquor License Complaint,Garwyn Oaks,,,1,,,,
BCLB-Liquor License Complaint,Gay Street,3,1,,1,,,
BCLB-Liquor License Complaint,Glen Oaks,,1,,,,,
BCLB-Liquor License Complaint,Glenham-Belhar,1,1,1,,,,1
BCLB-Liquor License Complaint,Graceland Park,3,2,2,7,6,6,9
BCLB-Liquor License Complaint,Greektown,16,24,11,67,5,38,28
BCLB-Liquor License Complaint,Greenmount West,1,3,,,,17,9
BCLB-Liquor License Complaint,Greenspring,1,,,,,,
BCLB-Liquor License Complaint,Guilford,,,,,1,,
BCLB-Liquor License Complaint,Gwynns Falls,1,12,56,12,,2,2
BCLB-Liquor License Complaint,Hamilton Hills,,1,,1,,6,8
BCLB-Liquor License Complaint,Hampden,10,6,8,6,11,27,10
BCLB-Liquor License Complaint,Hanlon-Longwood,2,,,,,,
BCLB-Liquor License Complaint,Harlem Park,2,,,,,1,
BCLB-Liquor License Complaint,Harwood,,1,,1,,,2
BCLB-Liquor License Complaint,Herring Run Park,,,,,,,1
BCLB-Liquor License Complaint,Highlandtown,22,20,16,18,29,52,22
BCLB-Liquor License Complaint,Hoes Heights,1,6,,,,,
BCLB-Liquor License Complaint,Hollins Market,9,8,22,10,1,8,16
BCLB-Liquor License Complaint,Homeland,,,,,1,,1
BCLB-Liquor License Complaint,Howard Park,4,3,3,1,,1,2
BCLB-Liquor License Complaint,Inner Harbor,1,4,5,2,11,9,5
BCLB-Liquor License Complaint,Irvington,1,1,,,,3,1
BCLB-Liquor License Complaint,Johnston Square,8,2,,,,3,4
BCLB-Liquor License Complaint,Jones Falls Area,,,,,10,1,3
BCLB-Liquor License Complaint,Jonestown,1,,,,,2,3
BCLB-Liquor License Complaint,Kernewood,,,,1,,,
BCLB-Liquor License Complaint,Kresson,7,4,1,,,,1
BCLB-Liquor License Complaint,Lakeland,3,,,,,2,
BCLB-Liquor License Complaint,Langston Hughes,,2,5,2,,1,
BCLB-Liquor License Complaint,Lauraville,1,1,,1,,,
BCLB-Liquor License Complaint,Liberty Square,,,,,,,1
BCLB-Liquor License Complaint,Little Italy,3,1,9,1,33,45,44
BCLB-Liquor License Complaint,Locust Point,8,7,7,44,11,7,9
BCLB-Liquor License Complaint,Locust Point Industrial Area,1,14,1,5,,2,
BCLB-Liquor License Complaint,Lower Edmondson Village,,,2,,,,
BCLB-Liquor License Complaint,Madison Park,,1,,4,,,
BCLB-Liquor License Complaint,Madison-Eastend,,,1,3,,1,1
BCLB-Liquor License Complaint,McElderry Park,1,2,5,4,,2,3
BCLB-Liquor License Complaint,Medfield,,,,,5,12,1
BCLB-Liquor License Complaint,Medford,,,,1,3,1,
BCLB-Liquor License Complaint,Middle Branch/Reedbird Parks,,,,,,1,
BCLB-Liquor License Complaint,Middle East,,3,,7,4,2,3
BCLB-Liquor License Complaint,Mid-Govans,,2,,1,,,4
BCLB-Liquor License Complaint,Mid-Town Belvedere,3,5,14,4,4,1,4
BCLB-Liquor License Complaint,Midtown-Edmondson,1,,4,4,5,2,
BCLB-Liquor License Complaint,Millhill,5,3,1,2,,1,4
BCLB-Liquor License Complaint,Mondawmin,,,3,1,3,12,6
BCLB-Liquor License Complaint,Moravia-Walther,,,,,1,,
BCLB-Liquor License Complaint,Morrell Park,5,6,2,,8,5,6
BCLB-Liquor License Complaint,Mosher,,,,,1,,3
BCLB-Liquor License Complaint,Mount Clare,,,,,,,2
BCLB-Liquor License Complaint,Mount Vernon,40,31,44,48,38,17,27
BCLB-Liquor License Complaint,Mount Washington,2,,,,,,
BCLB-Liquor License Complaint,New Southwest/Mount Clare,10,,7,6,3,3,10
