SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
HCD-Illegal Dumping,(blank),14,69,9,1,2,5,12
HCD-Illegal Dumping,9TH ST,,,,,,,1
HCD-Illegal Dumping,Abell,8,18,16,22,34,61,48
HCD-Illegal Dumping,ALASKA ST,,,,,,,1
HCD-Illegal Dumping,Allendale,29,39,44,58,59,59,71
HCD-Illegal Dumping,ANNAPOLIS RD,,,,,,,1
HCD-Illegal Dumping,Arcadia,12,7,13,15,9,9,13
HCD-Illegal Dumping,Arlington,26,30,57,32,54,41,130
HCD-Illegal Dumping,Armistead Gardens,2,2,4,17,15,18,42
HCD-Illegal Dumping,Ashburton,2,4,12,13,12,10,14
HCD-Illegal Dumping,Auchentoroly-Parkwood,,,,,,,48
HCD-Illegal Dumping,Baltimore Highlands,74,147,180,179,211,234,269
HCD-Illegal Dumping,Baltimore Peninsula,,,,,,,2
HCD-Illegal Dumping,Barclay,35,71,101,104,132,196,206
HCD-Illegal Dumping,Barre Circle,11,6,11,32,32,17,24
HCD-Illegal Dumping,Bayview,19,22,28,46,62,85,150
HCD-Illegal Dumping,BEAUFORT AVE,,,,,,,1
HCD-Illegal Dumping,Beechfield,12,10,30,17,25,16,20
HCD-Illegal Dumping,Belair-Edison,130,177,274,324,310,313,405
HCD-Illegal Dumping,Belair-Parkside,6,3,5,5,6,11,8
HCD-Illegal Dumping,Bellona-Gittings,,,2,1,1,,
HCD-Illegal Dumping,Belvedere,2,1,4,10,8,12,4
HCD-Illegal Dumping,Berea,61,63,95,127,120,497,770
HCD-Illegal Dumping,Better Waverly,36,56,76,104,66,107,126
HCD-Illegal Dumping,Beverly Hills,2,1,5,4,2,2,4
HCD-Illegal Dumping,Biddle Street,23,36,45,50,83,193,216
HCD-Illegal Dumping,Blythewood,,,,1,,,
HCD-Illegal Dumping,Bolton Hill,10,14,12,36,50,51,55
HCD-Illegal Dumping,BONNIE VIEW DR,,,,,,,2
HCD-Illegal Dumping,Boyd-Booth,19,33,31,34,35,51,50
HCD-Illegal Dumping,BREHMS LN,,,,,,,1
HCD-Illegal Dumping,Brewers Hill,11,8,12,20,29,33,45
HCD-Illegal Dumping,Bridgeview/Greenlawn,25,24,57,43,49,61,88
HCD-Illegal Dumping,Broadway East,98,143,204,204,238,667,963
HCD-Illegal Dumping,Broening Manor,16,12,23,28,40,32,46
HCD-Illegal Dumping,Brooklyn,71,146,235,220,262,305,390
HCD-Illegal Dumping,Burleith-Leighton,8,12,17,9,9,18,4
HCD-Illegal Dumping,Butchers Hill,,,,,,,61
HCD-Illegal Dumping,Butcher's Hill,16,20,39,64,43,67,34
HCD-Illegal Dumping,Callaway-Garrison,10,20,17,28,23,23,23
HCD-Illegal Dumping,Cameron Village,4,11,21,11,23,17,18
HCD-Illegal Dumping,Canton,77,69,120,164,199,199,204
HCD-Illegal Dumping,Canton Industrial Area,8,13,23,22,21,33,63
HCD-Illegal Dumping,CARE,29,44,71,74,70,94,93
HCD-Illegal Dumping,Carroll - Camden Industrial Area,6,4,20,32,55,37,37
HCD-Illegal Dumping,Carroll Park,1,2,1,7,11,3,5
HCD-Illegal Dumping,Carroll-South Hilton,17,25,52,39,37,40,62
HCD-Illegal Dumping,Carrollton Ridge,108,163,139,145,194,192,266
HCD-Illegal Dumping,Cedarcroft,1,,1,3,,3,1
HCD-Illegal Dumping,CEDLEY-KLOMAN,,,,,,,1
HCD-Illegal Dumping,Cedmont,8,17,38,22,27,10,14
HCD-Illegal Dumping,Cedonia,3,3,13,19,21,20,40
HCD-Illegal Dumping,Central Forest Park,10,15,29,11,20,15,19
HCD-Illegal Dumping,Central Park Heights,121,107,162,116,164,198,281
HCD-Illegal Dumping,Charles North,25,20,60,65,88,118,152
HCD-Illegal Dumping,Charles Village,43,53,76,85,116,107,129
HCD-Illegal Dumping,Cherry Hill,12,15,26,23,29,27,38
HCD-Illegal Dumping,Cheswolde,5,7,7,3,5,5,13
HCD-Illegal Dumping,Chinquapin Park,2,4,13,5,10,10,7
HCD-Illegal Dumping,Citywide,5183,6907,11000,11614,13954,16343,20001
HCD-Illegal Dumping,Clifton Park,,3,5,17,25,46,29
HCD-Illegal Dumping,Coldspring,3,4,13,22,19,46,37
HCD-Illegal Dumping,Coldstream Homestead Montebello,82,112,160,181,198,221,236
HCD-Illegal Dumping,Concerned Citizens Of Forest Park,17,11,22,22,25,21,37
HCD-Illegal Dumping,Coppin Heights/Ash-Co-East,50,56,101,76,93,71,88
HCD-Illegal Dumping,Cross Country,3,1,4,,2,2,4
HCD-Illegal Dumping,Cross Keys,,1,2,,5,4,9
HCD-Illegal Dumping,Curtis Bay,26,42,106,87,154,181,248
HCD-Illegal Dumping,Curtis Bay Industrial Area,1,,1,2,1,1,3
HCD-Illegal Dumping,Cylburn,8,5,15,17,19,24,21
HCD-Illegal Dumping,Darley Park,18,24,37,31,33,62,102
HCD-Illegal Dumping,Dickeyville,,3,4,8,9,33,25
HCD-Illegal Dumping,Dolfield,8,13,22,14,19,17,11
HCD-Illegal Dumping,Dorchester,8,22,32,35,21,26,26
HCD-Illegal Dumping,DOVER ST,,,,,,,1
HCD-Illegal Dumping,Downtown,34,37,91,153,151,201,216
HCD-Illegal Dumping,Downtown West,,,1,1,4,8,3
HCD-Illegal Dumping,Druid Heights,59,45,71,83,100,133,113
HCD-Illegal Dumping,Druid Hill Park,3,1,6,12,22,27,23
HCD-Illegal Dumping,Dunbar-Broadway,3,3,4,2,2,8,6
HCD-Illegal Dumping,Dundalk Marine Terminal,,,,,,,1
HCD-Illegal Dumping,E 22 1/2 ST,,,,,,,1
HCD-Illegal Dumping,E NORTH AVE,,,,,,,1
HCD-Illegal Dumping,E PRATT ST,,,,,,,2
HCD-Illegal Dumping,East Arlington,13,9,21,22,24,17,24
HCD-Illegal Dumping,East Baltimore Midway,94,70,142,145,198,358,440
HCD-Illegal Dumping,EASTERN AVE,,,,,,,1
HCD-Illegal Dumping,Easterwood,39,48,89,79,80,68,65
HCD-Illegal Dumping,Eastwood,,1,2,4,5,10,3
HCD-Illegal Dumping,Edgewood,25,36,43,84,108,80,69
HCD-Illegal Dumping,Edmondson Village,13,39,47,24,16,32,38
HCD-Illegal Dumping,Ednor Gardens-Lakeside,24,30,40,36,68,67,62
HCD-Illegal Dumping,Ellwood Park/Monument,69,107,166,171,190,179,148
HCD-Illegal Dumping,Evergreen,1,1,,,1,,3
HCD-Illegal Dumping,Evergreen Lawn,25,21,28,32,31,19,27
HCD-Illegal Dumping,Evesham Park,2,2,8,6,2,1,4
HCD-Illegal Dumping,Fairfield Area,15,8,13,18,22,37,31
HCD-Illegal Dumping,FAIRLAWN AVE,,,,,,,1
HCD-Illegal Dumping,Fairmont,8,6,5,16,15,23,22
HCD-Illegal Dumping,Fairmount,,,,,,,20
HCD-Illegal Dumping,Fallstaff,16,16,27,25,42,30,36
HCD-Illegal Dumping,Federal Hill,12,23,43,35,73,69,96
HCD-Illegal Dumping,Fells Point,38,45,74,99,72,106,130
HCD-Illegal Dumping,Forest Park,17,42,58,33,52,33,40
HCD-Illegal Dumping,Forest Park Golf Course,,,4,2,1,,
HCD-Illegal Dumping,Four By Four,7,16,48,29,30,33,42
HCD-Illegal Dumping,Frankford,47,52,104,116,80,112,114
HCD-Illegal Dumping,Franklin Square,54,89,69,99,145,148,168
HCD-Illegal Dumping,Franklintown,,2,4,8,12,26,38
HCD-Illegal Dumping,Franklintown Road,25,32,88,68,109,90,168
HCD-Illegal Dumping,Garwyn Oaks,3,15,17,11,6,11,9
HCD-Illegal Dumping,Gay Street,9,12,43,26,45,60,78
HCD-Illegal Dumping,Glen,9,11,25,28,15,24,37
HCD-Illegal Dumping,Glen Oaks,10,5,19,27,36,26,60
HCD-Illegal Dumping,Glenham-Belhar,18,38,69,58,77,57,24
HCD-Illegal Dumping,Graceland Park,14,19,31,41,39,53,110
HCD-Illegal Dumping,Greektown,50,67,107,162,205,300,289
HCD-Illegal Dumping,Greenmount Cemetery,1,,,,5,11,14
HCD-Illegal Dumping,Greenmount West,34,40,65,70,92,93,104
HCD-Illegal Dumping,Greenspring,28,38,73,46,58,63,177
HCD-Illegal Dumping,GREENSPRING AVE,,,,,,,1
HCD-Illegal Dumping,Grove Park,2,4,15,17,5,7,6
HCD-Illegal Dumping,Guilford,1,1,9,4,13,8,8
HCD-Illegal Dumping,Gwynns Falls,2,5,32,23,33,32,18
HCD-Illegal Dumping,Gwynns Falls/Leakin Park,15,31,28,40,48,89,105
HCD-Illegal Dumping,Hamilton,,,,,,,33
HCD-Illegal Dumping,Hamilton Hills,12,38,31,52,86,47,51
HCD-Illegal Dumping,Hampden,42,44,60,97,82,77,89
HCD-Illegal Dumping,Hanlon-Longwood,27,39,66,46,68,47,52
HCD-Illegal Dumping,Harlem Park,62,119,207,160,222,254,292
HCD-Illegal Dumping,HARRIET AVE,,,,,,,1
HCD-Illegal Dumping,Harwood,15,37,67,51,117,118,116
HCD-Illegal Dumping,Hawkins Point,4,6,4,3,5,11,35
HCD-Illegal Dumping,Heritage Crossing,2,4,6,5,3,3,5
HCD-Illegal Dumping,Herring Run Park,1,2,2,5,5,12,16
HCD-Illegal Dumping,HICKORY AVE,,,,,,,1
HCD-Illegal Dumping,Highlandtown,62,80,113,169,173,176,152
HCD-Illegal Dumping,Hillen,5,8,18,14,21,15,19
HCD-Illegal Dumping,HILLSDALE RD,,,,,,,1
HCD-Illegal Dumping,Hoes Heights,2,4,2,1,5,4,7
HCD-Illegal Dumping,Holabird Industrial Park,5,7,11,13,47,56,54
HCD-Illegal Dumping,HOLBROOK ST,,,,,,,1
HCD-Illegal Dumping,Hollins Market,21,35,80,71,86,95,119
HCD-Illegal Dumping,Homeland,15,3,9,4,7,17,10
HCD-Illegal Dumping,Hopkins Bayview,2,1,5,5,3,6,10
HCD-Illegal Dumping,Howard Park,43,61,70,53,61,51,70
HCD-Illegal Dumping,Hunting Ridge,8,10,22,12,23,19,29
HCD-Illegal Dumping,Idlewood,5,4,4,5,8,11,8
HCD-Illegal Dumping,Inner Harbor,4,2,3,5,1,5,20
HCD-Illegal Dumping,Irvington,61,50,87,83,136,120,121
HCD-Illegal Dumping,JEFFERSON ST,,,,,,,1
HCD-Illegal Dumping,Johns Hopkins Homewood,1,3,,4,4,2,5
HCD-Illegal Dumping,Johnston Square,30,48,62,76,77,107,121
HCD-Illegal Dumping,Jones Falls Area,7,7,12,9,36,18,21
HCD-Illegal Dumping,Jonestown,5,2,15,12,15,23,21
HCD-Illegal Dumping,Kenilworth Park,9,,8,11,9,13,17
HCD-Illegal Dumping,Kernewood,6,6,9,20,32,26,25
HCD-Illegal Dumping,Keswick,1,6,2,,1,1,1
HCD-Illegal Dumping,KEYWORTH AVE,,,,,,,1
