SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
HCD-Sanitation Property,(blank),34,543,10,11,1,1,3
HCD-Sanitation Property,Abell,59,63,40,30,59,39,41
HCD-Sanitation Property,Allendale,500,483,469,420,424,417,523
HCD-Sanitation Property,Arcadia,59,35,48,26,39,39,34
HCD-Sanitation Property,Arlington,294,316,289,197,239,196,289
HCD-Sanitation Property,Armistead Gardens,23,27,21,22,14,12,34
HCD-Sanitation Property,Ashburton,96,114,102,91,69,71,93
HCD-Sanitation Property,Auchentoroly-Parkwood,,,,,,,100
HCD-Sanitation Property,Baltimore Highlands,327,295,214,145,126,150,147
HCD-Sanitation Property,Baltimore Peninsula,,,,,,,1
HCD-Sanitation Property,Barclay,258,275,185,167,186,205,265
HCD-Sanitation Property,BARCLAY ST,,,,,,,3
HCD-Sanitation Property,Barre Circle,84,75,32,34,46,42,79
HCD-Sanitation Property,Bayview,338,563,438,295,436,412,262
HCD-Sanitation Property,Beechfield,234,210,198,162,176,152,216
HCD-Sanitation Property,Belair-Edison,1629,1476,1182,915,1203,1398,1549
HCD-Sanitation Property,Belair-Parkside,30,33,32,26,28,33,37
HCD-Sanitation Property,Bellona-Gittings,9,17,2,4,1,9,1
HCD-Sanitation Property,Belvedere,51,38,34,27,32,28,35
HCD-Sanitation Property,Berea,634,544,615,454,479,693,687
HCD-Sanitation Property,Better Waverly,317,282,174,146,230,201,219
HCD-Sanitation Property,Beverly Hills,52,35,17,22,36,34,19
HCD-Sanitation Property,Biddle Street,187,110,160,70,100,235,152
HCD-Sanitation Property,Bolton Hill,129,108,80,90,122,195,161
HCD-Sanitation Property,BONNIE VIEW DR,,,,,,,1
HCD-Sanitation Property,Boyd-Booth,160,69,84,100,134,261,230
HCD-Sanitation Property,BRADDISH AVE,,,,,,,1
HCD-Sanitation Property,Brewers Hill,76,52,41,45,40,42,46
HCD-Sanitation Property,Bridgeview/Greenlawn,199,195,232,177,180,186,172
HCD-Sanitation Property,Broadway East,1014,758,667,484,489,983,1074
HCD-Sanitation Property,Broening Manor,99,89,154,99,145,118,121
HCD-Sanitation Property,Brooklyn,881,1104,626,592,681,907,825
HCD-Sanitation Property,Burleith-Leighton,65,71,74,53,48,61,37
HCD-Sanitation Property,Butchers Hill,,,,,,,45
HCD-Sanitation Property,Butcher's Hill,157,113,113,59,81,127,60
HCD-Sanitation Property,Callaway-Garrison,92,136,122,108,107,92,112
HCD-Sanitation Property,CALLOW AVE,,,,,,,1
HCD-Sanitation Property,CAMERON RD,,,,,,,2
HCD-Sanitation Property,Cameron Village,132,160,100,46,88,118,123
HCD-Sanitation Property,Canton,744,747,512,424,560,490,573
HCD-Sanitation Property,Canton Industrial Area,16,28,5,15,20,5,5
HCD-Sanitation Property,CARE,193,165,146,78,74,86,92
HCD-Sanitation Property,CARMINE AVE,,,,,,,1
HCD-Sanitation Property,Carroll - Camden Industrial Area,46,43,19,17,17,11,11
HCD-Sanitation Property,Carroll Park,2,7,1,2,1,,1
HCD-Sanitation Property,Carroll-South Hilton,183,182,129,137,120,140,259
HCD-Sanitation Property,Carrollton Ridge,1315,829,535,612,748,918,952
HCD-Sanitation Property,Cedarcroft,6,6,5,5,4,6,2
HCD-Sanitation Property,Cedmont,151,174,152,148,154,119,85
HCD-Sanitation Property,Cedonia,161,165,112,113,135,139,107
HCD-Sanitation Property,Central Forest Park,145,124,92,93,81,79,66
HCD-Sanitation Property,Central Park Heights,1131,782,852,675,672,764,641
HCD-Sanitation Property,Charles North,89,101,55,61,111,94,122
HCD-Sanitation Property,Charles Village,297,289,168,160,254,246,256
