SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
SW-Bulk Scheduled,(blank),137,986,32,2,,,
SW-Bulk Scheduled,Abell,103,97,98,25,,1,
SW-Bulk Scheduled,Allendale,547,486,496,95,34,15,
SW-Bulk Scheduled,Arcadia,247,240,225,48,3,5,
SW-Bulk Scheduled,Arlington,278,244,268,70,14,2,
SW-Bulk Scheduled,Armistead Gardens,7,3,7,,1,,
SW-Bulk Scheduled,Ashburton,370,338,332,57,10,11,
SW-Bulk Scheduled,Baltimore Highlands,187,156,125,33,9,9,
SW-Bulk Scheduled,Barclay,190,160,224,42,3,2,
SW-Bulk Scheduled,Barre Circle,28,42,40,5,,,
SW-Bulk Scheduled,Bayview,292,271,297,58,10,2,
SW-Bulk Scheduled,Beechfield,453,466,466,99,27,12,
SW-Bulk Scheduled,Belair-Edison,2648,2659,2693,614,93,58,
SW-Bulk Scheduled,Belair-Parkside,69,95,82,23,2,2,
SW-Bulk Scheduled,Bellona-Gittings,43,47,64,12,2,1,
SW-Bulk Scheduled,Belvedere,155,146,174,35,9,3,
SW-Bulk Scheduled,Berea,600,551,491,111,31,11,
SW-Bulk Scheduled,Better Waverly,294,289,297,50,7,3,
SW-Bulk Scheduled,Beverly Hills,133,138,153,38,7,1,
SW-Bulk Scheduled,Biddle Street,121,102,107,21,6,3,
SW-Bulk Scheduled,Bolton Hill,146,147,235,36,10,1,
SW-Bulk Scheduled,Boyd-Booth,57,57,44,6,1,,
SW-Bulk Scheduled,Brewers Hill,235,230,251,47,10,6,
SW-Bulk Scheduled,Bridgeview/Greenlawn,194,184,161,42,12,2,
SW-Bulk Scheduled,Broadway East,360,274,324,82,16,7,
SW-Bulk Scheduled,Broening Manor,179,164,169,46,16,6,
SW-Bulk Scheduled,Brooklyn,566,591,668,164,29,9,
SW-Bulk Scheduled,Burleith-Leighton,96,109,91,16,1,1,
SW-Bulk Scheduled,Butcher's Hill,186,172,136,31,9,7,
SW-Bulk Scheduled,Callaway-Garrison,213,209,198,40,9,7,
SW-Bulk Scheduled,Cameron Village,185,176,186,32,6,7,
SW-Bulk Scheduled,Canton,1679,1579,1631,349,73,29,
SW-Bulk Scheduled,Canton Industrial Area,4,3,3,,,,
SW-Bulk Scheduled,CARE,105,74,90,31,5,3,
SW-Bulk Scheduled,Carroll - Camden Industrial Area,,,3,2,,,
SW-Bulk Scheduled,Carroll Park,,,3,,,,
SW-Bulk Scheduled,Carroll-South Hilton,149,166,140,47,7,3,
SW-Bulk Scheduled,Carrollton Ridge,140,103,96,29,7,1,
SW-Bulk Scheduled,Cedarcroft,70,68,70,18,1,1,
SW-Bulk Scheduled,Cedmont,422,461,439,71,13,6,
SW-Bulk Scheduled,Cedonia,354,414,389,79,11,7,
SW-Bulk Scheduled,Central Forest Park,105,110,116,24,1,4,
SW-Bulk Scheduled,Central Park Heights,395,400,433,94,19,7,
SW-Bulk Scheduled,Charles North,28,31,54,9,1,,
SW-Bulk Scheduled,Charles Village,329,290,403,73,8,8,
SW-Bulk Scheduled,Cherry Hill,139,136,133,28,7,4,
SW-Bulk Scheduled,Cheswolde,597,770,798,161,28,21,
SW-Bulk Scheduled,Chinquapin Park,221,175,227,36,6,7,
SW-Bulk Scheduled,Citywide,58776,58581,58891,12612,2379,1230,
SW-Bulk Scheduled,Clifton Park,4,2,5,1,,,
SW-Bulk Scheduled,Coldspring,19,18,24,3,2,,
SW-Bulk Scheduled,Coldstream Homestead Montebello,893,908,828,184,41,20,
SW-Bulk Scheduled,Concerned Citizens Of Forest Park,128,111,107,21,,3,
SW-Bulk Scheduled,Coppin Heights/Ash-Co-East,256,244,273,48,9,6,
SW-Bulk Scheduled,Cross Country,608,634,689,165,29,14,
SW-Bulk Scheduled,Cross Keys,14,16,15,3,,1,
SW-Bulk Scheduled,Curtis Bay,245,268,287,59,7,5,
SW-Bulk Scheduled,Cylburn,219,220,214,52,5,6,
SW-Bulk Scheduled,Darley Park,165,137,119,23,4,3,
SW-Bulk Scheduled,Dickeyville,29,38,32,5,,,
SW-Bulk Scheduled,Dolfield,196,164,182,40,6,5,
SW-Bulk Scheduled,Dorchester,195,185,200,37,7,4,
SW-Bulk Scheduled,Downtown,40,55,94,21,2,2,
SW-Bulk Scheduled,Downtown West,1,1,4,,,,
SW-Bulk Scheduled,Druid Heights,109,97,92,28,3,4,
SW-Bulk Scheduled,Druid Hill Park,1,,1,,,,
SW-Bulk Scheduled,Dunbar-Broadway,1,2,1,1,,,
SW-Bulk Scheduled,East Arlington,241,236,262,56,6,5,
SW-Bulk Scheduled,East Baltimore Midway,300,299,286,53,7,6,
SW-Bulk Scheduled,Easterwood,188,140,166,34,8,1,
SW-Bulk Scheduled,Eastwood,76,56,71,13,4,1,
SW-Bulk Scheduled,Edgewood,303,291,295,71,17,10,
SW-Bulk Scheduled,Edmondson Village,490,508,543,119,28,15,
SW-Bulk Scheduled,Ednor Gardens-Lakeside,732,785,713,167,30,18,
SW-Bulk Scheduled,Ellwood Park/Monument,292,278,253,63,9,4,
SW-Bulk Scheduled,Evergreen,41,41,33,9,1,,
SW-Bulk Scheduled,Evergreen Lawn,116,162,179,39,6,1,
SW-Bulk Scheduled,Evesham Park,60,55,71,11,1,,
