SR Type,Neighborhood,012017,022017,032017,042017,052017,062017,072017,082017,092017,102017,112017,122017,012018,022018,032018,042018,052018,062018,072018,082018,092018,102018,112018,122018,012019,022019,032019,042019,052019,062019,072019,082019,092019,102019,112019,122019,012020,022020,032020,042020,052020,062020,072020,082020,092020,102020,112020,122020,012021,022021,032021,042021,052021,062021,072021,082021,092021,102021,112021,122021,012022,022022,032022,042022,052022,062022,072022,082022,092022,102022,112022,122022,012023,022023,032023,042023,052023,062023,072023,082023,092023,102023,112023,122023
SW-Dirty Alley,(blank),,,1,1,3,1,1,,1,1,3,,3,,2,1,2,1,54,423,,,,1,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7
SW-Dirty Alley,Abell,2,4,6,3,5,3,13,9,5,5,3,2,3,4,3,7,4,8,3,8,8,5,2,4,2,3,3,5,8,6,3,5,8,2,2,,3,3,,1,5,1,4,2,2,2,1,3,6,1,1,2,2,4,3,1,3,,,3,2,2,1,1,1,4,,1,2,4,,1,4,2,4,,4,8,1,1,2,4,10,6
SW-Dirty Alley,Allendale,14,14,17,10,11,8,10,17,4,17,13,7,9,6,21,9,17,14,10,23,10,14,6,6,16,10,12,13,3,5,9,16,15,18,4,6,15,7,7,5,11,6,8,7,13,13,7,8,4,5,28,15,24,15,18,5,14,10,8,14,8,9,8,12,13,23,9,19,25,14,20,10,15,17,15,13,22,11,14,15,21,12,11,9
SW-Dirty Alley,ANNABEL AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SW-Dirty Alley,Arcadia,4,6,15,7,6,6,8,6,4,4,2,1,,1,,3,4,2,2,,6,4,3,5,1,2,,1,6,4,4,2,3,,1,,1,2,3,,4,1,6,1,7,6,3,1,2,4,2,2,1,6,,3,1,4,1,1,,3,1,1,2,1,1,3,,,,1,3,1,,,1,7,1,3,1,,,2
SW-Dirty Alley,Arlington,12,9,10,16,10,14,8,15,8,7,10,5,11,13,15,8,9,10,14,8,16,20,19,4,14,12,19,18,8,7,14,13,11,15,5,6,8,9,7,4,3,4,5,6,4,6,1,1,7,2,10,10,14,7,12,6,10,6,5,10,6,10,11,11,11,17,15,20,18,9,11,9,11,7,15,16,8,12,4,11,9,14,8,2
SW-Dirty Alley,Armistead Gardens,,,,,,,,,,8,,1,,,,,,,,3,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,1,,1,,1,,,,,,,,,,1,,,,,,,,2
SW-Dirty Alley,Ashburton,1,1,4,3,2,4,,3,,3,1,,1,1,3,3,4,1,2,2,2,3,2,,,1,1,,,2,1,1,2,,1,,1,,1,1,1,1,2,1,,1,,1,1,1,1,1,1,1,3,2,2,,,2,1,1,1,2,1,2,3,,,1,,1,1,6,3,,4,1,1,1,6,1,2,3
SW-Dirty Alley,Auchentoroly-Parkwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,8,9,11,14
