SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
SW-Dirty Alley,(blank),12,487,8,,11,,7
SW-Dirty Alley,Abell,60,59,47,27,26,19,46
SW-Dirty Alley,Allendale,142,145,127,107,160,170,175
SW-Dirty Alley,ANNABEL AVE,,,,,,,1
SW-Dirty Alley,Arcadia,69,30,24,35,27,13,19
SW-Dirty Alley,Arlington,124,147,142,58,99,148,117
SW-Dirty Alley,Armistead Gardens,9,4,2,,3,3,3
SW-Dirty Alley,Ashburton,22,24,9,10,15,13,29
SW-Dirty Alley,Auchentoroly-Parkwood,,,,,,,59
SW-Dirty Alley,BAKER ST,,,,,,,1
SW-Dirty Alley,Baltimore Highlands,705,842,553,415,510,492,507
SW-Dirty Alley,Barclay,323,309,285,150,237,276,274
SW-Dirty Alley,Barre Circle,6,9,6,3,5,6,8
SW-Dirty Alley,Bayview,102,121,85,69,93,94,90
SW-Dirty Alley,Beechfield,45,41,40,29,21,17,15
SW-Dirty Alley,Belair-Edison,816,1010,968,706,804,666,809
SW-Dirty Alley,Belair-Parkside,33,25,15,9,13,10,11
SW-Dirty Alley,Bellona-Gittings,,,1,,,,
SW-Dirty Alley,Belvedere,1,9,7,2,12,1,7
SW-Dirty Alley,Berea,324,368,244,286,278,337,338
SW-Dirty Alley,Better Waverly,159,142,172,99,84,91,73
SW-Dirty Alley,Beverly Hills,1,3,5,3,1,3,5
SW-Dirty Alley,Biddle Street,184,237,171,113,146,146,96
SW-Dirty Alley,BOARMAN AVE,,,,,,,1
SW-Dirty Alley,Bolton Hill,36,37,28,30,39,25,34
SW-Dirty Alley,BOOTH ST,,,,,,,1
SW-Dirty Alley,Boyd-Booth,76,60,52,55,35,34,50
SW-Dirty Alley,Brewers Hill,50,54,49,35,53,50,67
SW-Dirty Alley,Bridgeview/Greenlawn,83,77,91,74,51,67,92
SW-Dirty Alley,BRIGHTON ST,,,,,,,1
SW-Dirty Alley,Broadway East,846,667,546,552,647,582,495
SW-Dirty Alley,Broening Manor,44,30,61,54,79,39,34
SW-Dirty Alley,Brooklyn,626,786,872,538,498,910,750
SW-Dirty Alley,Burleith-Leighton,18,26,33,16,21,18,12
SW-Dirty Alley,Butchers Hill,,,,,,,9
SW-Dirty Alley,Butcher's Hill,31,30,32,12,22,22,11
SW-Dirty Alley,Callaway-Garrison,51,74,58,41,46,24,51
SW-Dirty Alley,Cameron Village,37,53,49,16,25,16,16
SW-Dirty Alley,Canton,284,406,263,259,269,155,137
SW-Dirty Alley,Canton Industrial Area,3,4,4,4,13,4,7
SW-Dirty Alley,CARE,204,164,162,118,147,108,88
SW-Dirty Alley,Carroll - Camden Industrial Area,10,6,7,7,5,3,14
SW-Dirty Alley,Carroll Park,7,,1,,1,2,
SW-Dirty Alley,Carroll-South Hilton,60,74,87,50,49,41,58
SW-Dirty Alley,Carrollton Ridge,803,946,592,431,438,651,742
SW-Dirty Alley,Cedarcroft,,,,,1,1,
SW-Dirty Alley,CEDLEY ST,,,,,,,1
SW-Dirty Alley,Cedmont,39,55,45,36,26,20,23
SW-Dirty Alley,Cedonia,23,20,18,12,13,7,10
SW-Dirty Alley,Central Forest Park,31,31,48,11,35,9,11
SW-Dirty Alley,Central Park Heights,393,348,376,203,305,248,369
SW-Dirty Alley,CHALGROVE AVE,,,,,,,1
SW-Dirty Alley,Charles North,64,67,82,84,133,88,103
SW-Dirty Alley,Charles Village,151,237,172,121,121,104,139
SW-Dirty Alley,Cherry Hill,71,81,40,26,35,29,51
SW-Dirty Alley,Cheswolde,,2,2,,,1,
SW-Dirty Alley,Chinquapin Park,7,13,25,6,14,8,14
SW-Dirty Alley,CHRISTIAN ST,,,,,,,2
SW-Dirty Alley,Citywide,24890,28046,25059,18143,21131,19458,21858
SW-Dirty Alley,Clifton Park,8,18,4,12,15,13,13
SW-Dirty Alley,Coldspring,,1,2,1,3,2,1
SW-Dirty Alley,Coldstream Homestead Montebello,483,601,536,400,510,554,787
SW-Dirty Alley,Concerned Citizens Of Forest Park,60,62,41,39,79,78,86
SW-Dirty Alley,Coppin Heights/Ash-Co-East,186,213,291,107,141,109,143
SW-Dirty Alley,Cross Country,6,13,17,8,7,7,4
SW-Dirty Alley,Cross Keys,1,2,1,,,,
SW-Dirty Alley,Curtis Bay,214,263,298,210,243,366,478
SW-Dirty Alley,Curtis Bay Industrial Area,,,,,3,,
SW-Dirty Alley,Cylburn,22,20,29,30,37,24,27
SW-Dirty Alley,Darley Park,128,158,75,69,97,96,90
SW-Dirty Alley,Dickeyville,,1,,1,1,1,
SW-Dirty Alley,Dolfield,23,37,29,26,17,26,22
SW-Dirty Alley,Dorchester,42,63,76,28,42,54,41
SW-Dirty Alley,Downtown,186,220,231,187,204,183,169
SW-Dirty Alley,Downtown West,4,2,3,,3,1,6
SW-Dirty Alley,Druid Heights,170,141,142,121,137,127,219
SW-Dirty Alley,Druid Hill Park,2,2,,,,5,4
SW-Dirty Alley,DULANY ST,,,,,,,1
SW-Dirty Alley,Dunbar-Broadway,6,5,5,1,8,4,2
SW-Dirty Alley,DUNDALK AVE,,,,,,,1
SW-Dirty Alley,E 22 1/2 ST,,,,,,,1
SW-Dirty Alley,E FAIRMOUNT AVE,,,,,,,2
SW-Dirty Alley,E FAYETTE ST,,,,,,,1
SW-Dirty Alley,E FEDERAL ST,,,,,,,1
SW-Dirty Alley,E PATAPSCO AVE,,,,,,,2
SW-Dirty Alley,East Arlington,35,46,34,18,27,20,23
SW-Dirty Alley,East Baltimore Midway,467,492,335,220,293,339,324
SW-Dirty Alley,Easterwood,161,250,216,98,144,90,159
SW-Dirty Alley,Eastwood,4,3,6,9,12,19,15
SW-Dirty Alley,Edgewood,160,143,160,101,118,112,108
SW-Dirty Alley,Edmondson Village,56,96,95,37,61,58,60
SW-Dirty Alley,Ednor Gardens-Lakeside,75,78,89,67,81,33,32
SW-Dirty Alley,ELIZABETH AVE,,,,,,,1
SW-Dirty Alley,ELLERSLIE AVE,,,,,,,1
SW-Dirty Alley,Ellwood Park/Monument,855,1036,799,668,844,710,357
SW-Dirty Alley,ESTHER PL,,,,,,,1
SW-Dirty Alley,Evergreen,5,2,1,,,2,1
SW-Dirty Alley,Evergreen Lawn,71,58,69,39,41,47,38
SW-Dirty Alley,Evesham Park,3,7,6,2,13,11,5
SW-Dirty Alley,Fairfield Area,13,5,21,7,7,9,6
SW-Dirty Alley,Fairmont,2,1,2,2,,1,
SW-Dirty Alley,Fallstaff,53,61,76,73,109,91,139
SW-Dirty Alley,Federal Hill,28,30,26,20,36,25,34
SW-Dirty Alley,Fells Point,43,46,26,27,21,10,15
SW-Dirty Alley,Forest Park,119,124,92,48,95,80,61
SW-Dirty Alley,Forest Park Golf Course,3,2,3,4,1,,
SW-Dirty Alley,Four By Four,100,122,157,116,106,84,63
SW-Dirty Alley,Frankford,77,115,113,79,63,52,53
SW-Dirty Alley,Franklin Square,224,238,153,139,170,185,163
SW-Dirty Alley,Franklintown,,2,1,2,1,1,1
SW-Dirty Alley,Franklintown Road,84,126,165,71,84,149,180
SW-Dirty Alley,FURROW ST,,,,,,,1
SW-Dirty Alley,Garwyn Oaks,10,17,8,2,6,6,2
SW-Dirty Alley,Gay Street,44,47,47,46,60,80,48
SW-Dirty Alley,Glen,39,58,41,49,50,30,39
SW-Dirty Alley,Glen Oaks,81,63,61,48,70,53,56
SW-Dirty Alley,Glenham-Belhar,73,78,94,57,72,72,23
SW-Dirty Alley,GOUGH ST,,,,,,,1
SW-Dirty Alley,Graceland Park,36,49,60,55,53,54,32
SW-Dirty Alley,Greektown,176,247,168,157,111,93,102
SW-Dirty Alley,Greenmount Cemetery,2,4,1,1,,3,
SW-Dirty Alley,Greenmount West,157,111,102,97,95,73,92
SW-Dirty Alley,Greenspring,119,151,160,52,131,86,93
SW-Dirty Alley,GREENSPRING AVE,,,,,,,1
SW-Dirty Alley,GRINNALDS AVE,,,,,,,1
SW-Dirty Alley,Grove Park,1,12,3,5,4,2,7
SW-Dirty Alley,Guilford,5,5,7,12,5,5,3
SW-Dirty Alley,GUILFORD AVE,,,,,,,1
SW-Dirty Alley,Gwynns Falls,19,34,68,26,25,35,42
SW-Dirty Alley,Gwynns Falls/Leakin Park,3,9,3,2,3,1,
SW-Dirty Alley,Hamilton,,,,,,,35
SW-Dirty Alley,Hamilton Hills,37,50,46,43,37,27,15
SW-Dirty Alley,Hampden,138,155,130,108,72,66,95
SW-Dirty Alley,Hanlon-Longwood,80,125,119,69,60,59,102
SW-Dirty Alley,HARCOURT RD,,,,,,,1
SW-Dirty Alley,HARLEM AVE,,,,,,,1
SW-Dirty Alley,Harlem Park,383,413,332,201,285,212,280
SW-Dirty Alley,HARRIET AVE,,,,,,,1
SW-Dirty Alley,HARTWAIT ST,,,,,,,1
SW-Dirty Alley,Harwood,170,261,177,110,164,113,212
SW-Dirty Alley,Hawkins Point,,,,,,1,1
SW-Dirty Alley,Heritage Crossing,3,2,8,1,,,3
SW-Dirty Alley,Herring Run Park,8,7,3,2,10,3,7
SW-Dirty Alley,Highlandtown,300,276,221,198,190,132,162
SW-Dirty Alley,Hillen,36,53,45,37,33,32,25
SW-Dirty Alley,Hoes Heights,7,5,13,1,1,3,4
SW-Dirty Alley,Holabird Industrial Park,1,,2,1,,1,1
SW-Dirty Alley,Hollins Market,65,88,94,72,69,81,67
SW-Dirty Alley,Homeland,8,9,9,9,12,8,4
SW-Dirty Alley,Hopkins Bayview,8,5,2,2,3,1,2
SW-Dirty Alley,Howard Park,83,101,107,56,54,45,42
SW-Dirty Alley,Hunting Ridge,9,3,6,7,9,10,8
SW-Dirty Alley,Idlewood,30,18,18,16,28,31,36
SW-Dirty Alley,Inner Harbor,2,3,2,4,3,5,3
SW-Dirty Alley,Irvington,172,140,231,152,130,181,153
SW-Dirty Alley,Johns Hopkins Homewood,2,,1,,,,
SW-Dirty Alley,Johnston Square,161,173,107,91,84,75,68
SW-Dirty Alley,Jones Falls Area,1,5,1,,1,,2
SW-Dirty Alley,Jonestown,30,5,2,6,4,5,3
SW-Dirty Alley,Kenilworth Park,6,10,6,9,5,3,3
SW-Dirty Alley,Kernewood,24,18,32,40,37,18,22
SW-Dirty Alley,Keswick,3,5,2,,2,6,8
SW-Dirty Alley,Kresson,97,124,99,58,53,36,44
SW-Dirty Alley,Lake Evesham,,1,1,,1,,1
SW-Dirty Alley,Lake Walker,8,9,8,4,4,1,
SW-Dirty Alley,Lakeland,182,182,137,133,65,88,64
SW-Dirty Alley,LAKEVIEW AVE,,,,,,,1
SW-Dirty Alley,Langston Hughes,42,40,55,52,32,34,106
SW-Dirty Alley,Lauraville,34,27,7,15,12,11,6
SW-Dirty Alley,Levindale,2,,5,5,3,8,15
SW-Dirty Alley,Liberty Square,35,49,24,12,45,34,41
SW-Dirty Alley,Little Italy,8,5,4,4,12,7,14
SW-Dirty Alley,Loch Raven,72,53,60,53,63,72,103
SW-Dirty Alley,Locust Point,27,37,43,15,17,16,13
SW-Dirty Alley,Locust Point Industrial Area,6,,2,,6,3,
SW-Dirty Alley,Lower Edmondson Village,10,20,40,12,11,23,22
SW-Dirty Alley,Lower Herring Run Park,,,2,2,2,,1
SW-Dirty Alley,Lucille Park,31,43,41,28,36,30,27
SW-Dirty Alley,MADISON AVE,,,,,,,1
SW-Dirty Alley,Madison Park,55,30,71,69,80,81,164
SW-Dirty Alley,Madison-Eastend,201,302,194,384,457,231,185
SW-Dirty Alley,Mayfield,8,14,13,5,13,3,8
SW-Dirty Alley,McElderry Park,1002,1089,1397,1073,1362,1069,1194
SW-Dirty Alley,Medfield,23,25,16,13,11,15,12
SW-Dirty Alley,Medford,16,20,15,5,21,23,21
SW-Dirty Alley,Middle Branch/Reedbird Parks,2,,2,,,,
SW-Dirty Alley,Middle East,110,158,123,80,122,83,69
SW-Dirty Alley,Mid-Govans,50,73,39,46,29,26,43
SW-Dirty Alley,Mid-Town Belvedere,37,32,51,46,69,38,29
SW-Dirty Alley,Midtown-Edmondson,286,218,213,109,211,253,326
SW-Dirty Alley,Millhill,201,189,214,140,159,184,201
SW-Dirty Alley,Milton-Montford,248,285,193,235,259,105,80
SW-Dirty Alley,Mondawmin,267,329,351,214,305,245,332
SW-Dirty Alley,Montebello,,1,,,1,1,
SW-Dirty Alley,Moravia-Walther,6,9,2,9,4,4,9
SW-Dirty Alley,Morgan Park,,,,1,,,
SW-Dirty Alley,Morgan State University,2,,,,,,
SW-Dirty Alley,Morrell Park,100,182,272,112,126,102,110
SW-Dirty Alley,MORTON ST,,,,,,,1
SW-Dirty Alley,Mosher,106,113,180,74,117,126,153
SW-Dirty Alley,Mount Clare,,,,,,,105
SW-Dirty Alley,Mount Holly,31,37,41,33,29,22,45
SW-Dirty Alley,Mount Vernon,58,48,51,67,57,56,52
SW-Dirty Alley,Mount Washington,6,4,9,9,2,4,7
SW-Dirty Alley,Mount Winans,28,34,47,23,16,9,14
SW-Dirty Alley,N AMITY ST,,,,,,,1
SW-Dirty Alley,N BELNORD-KENWOOD,,,,,,,1
SW-Dirty Alley,N BOULDIN ST,,,,,,,1
SW-Dirty Alley,N CHAPEL ST,,,,,,,1
SW-Dirty Alley,N CHARLES ST,,,,,,,1
SW-Dirty Alley,N ELLWOOD AVE,,,,,,,1
SW-Dirty Alley,N FULTON AVE,,,,,,,1
SW-Dirty Alley,N HIGHLAND AVE,,,,,,,1
SW-Dirty Alley,N HOWARD ST,,,,,,,1
SW-Dirty Alley,N KENWOOD AVE,,,,,,,2
SW-Dirty Alley,N PULASKI ST,,,,,,,1
