SR Type,Neighborhood,012017,022017,032017,042017,052017,062017,072017,082017,092017,102017,112017,122017,012018,022018,032018,042018,052018,062018,072018,082018,092018,102018,112018,122018,012019,022019,032019,042019,052019,062019,072019,082019,092019,102019,112019,122019,012020,022020,032020,042020,052020,062020,072020,082020,092020,102020,112020,122020,012021,022021,032021,042021,052021,062021,072021,082021,092021,102021,112021,122021,012022,022022,032022,042022,052022,062022,072022,082022,092022,102022,112022,122022,012023,022023,032023,042023,052023,062023,072023,082023,092023,102023,112023,122023
RP-Street Lighting Repairs,(blank),,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Arlington,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Barclay,,,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,,,,,,,,,,,,,,,,,,,,,2,,,,
RP-Street Lighting Repairs,Barre Circle,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,1,1,,
RP-Street Lighting Repairs,Bayview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Belair-Edison,1,,,,,,,,,1,,1,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
RP-Street Lighting Repairs,Better Waverly,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
RP-Street Lighting Repairs,Biddle Street,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Blythewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Bolton Hill,,1,,1,,,,1,,1,,,,,,,1,,,,2,1,2,2,3,,,2,1,,,,,1,1,,,1,,,,,,1,1,,,1,,,,,1,2,,,1,3,1,3,,,,,,2,2,1,,4,,2,3,1,,,,3,6,1,,1,1,
RP-Street Lighting Repairs,Boyd-Booth,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Broadway East,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Brooklyn,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,1,1,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,1,1,,,,,,,,,,,
RP-Street Lighting Repairs,Butchers Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,1
RP-Street Lighting Repairs,Butcher's Hill,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,
RP-Street Lighting Repairs,Cameron Village,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
