SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
RP-Street Lighting Repairs,(blank),1,1,,,1,,
RP-Street Lighting Repairs,Arlington,,1,,,,,
RP-Street Lighting Repairs,Barclay,,4,,,8,,2
RP-Street Lighting Repairs,Barre Circle,,,3,4,1,1,3
RP-Street Lighting Repairs,Bayview,,,,1,,,
RP-Street Lighting Repairs,Belair-Edison,3,2,1,1,,,1
RP-Street Lighting Repairs,Better Waverly,,,2,1,,,2
RP-Street Lighting Repairs,Biddle Street,,1,,,,,
RP-Street Lighting Repairs,Blythewood,,,1,,,,
RP-Street Lighting Repairs,Bolton Hill,4,8,8,4,11,11,16
RP-Street Lighting Repairs,Boyd-Booth,,1,,,,,
RP-Street Lighting Repairs,Broadway East,,1,,,,2,
RP-Street Lighting Repairs,Brooklyn,,3,1,3,2,2,1
RP-Street Lighting Repairs,Butchers Hill,,,,,,,6
RP-Street Lighting Repairs,Butcher's Hill,1,1,1,,,1,1
RP-Street Lighting Repairs,Cameron Village,1,,,,1,,
RP-Street Lighting Repairs,Canton,6,5,6,6,9,25,42
RP-Street Lighting Repairs,Canton Industrial Area,1,,,1,2,1,
RP-Street Lighting Repairs,CARE,,,1,,1,,
RP-Street Lighting Repairs,Carroll - Camden Industrial Area,,2,,1,,,
RP-Street Lighting Repairs,Carroll Park,,,4,3,4,3,2
RP-Street Lighting Repairs,Carroll-South Hilton,,,,,,1,1
RP-Street Lighting Repairs,Carrollton Ridge,,,1,1,,,1
RP-Street Lighting Repairs,Cedonia,,,,,1,,
RP-Street Lighting Repairs,Central Park Heights,,3,1,,1,,
RP-Street Lighting Repairs,Charles North,,3,,,,,
RP-Street Lighting Repairs,Charles Village,1,1,3,5,2,2,2
RP-Street Lighting Repairs,Cheswolde,,,,1,,,
RP-Street Lighting Repairs,Chinquapin Park,,,,,,1,
RP-Street Lighting Repairs,Citywide,88,189,186,138,181,244,346
RP-Street Lighting Repairs,Clifton Park,,,1,2,2,5,8
RP-Street Lighting Repairs,Coldspring,,2,1,1,,2,2
RP-Street Lighting Repairs,Coldstream Homestead Montebello,1,5,1,1,1,2,3
RP-Street Lighting Repairs,Coppin Heights/Ash-Co-East,1,2,,,,,
RP-Street Lighting Repairs,Curtis Bay,1,1,1,,,,
RP-Street Lighting Repairs,Darley Park,,,,,,,1
RP-Street Lighting Repairs,Dorchester,,1,,,,,
RP-Street Lighting Repairs,Downtown,,3,5,1,2,4,7
RP-Street Lighting Repairs,Downtown West,,2,1,,2,1,
RP-Street Lighting Repairs,Druid Heights,1,1,,1,,1,2
RP-Street Lighting Repairs,Druid Hill Park,1,,,3,4,7,2
RP-Street Lighting Repairs,Dunbar-Broadway,,1,1,,1,,
RP-Street Lighting Repairs,East Baltimore Midway,,,,,2,,
RP-Street Lighting Repairs,Easterwood,,,2,,,,
RP-Street Lighting Repairs,Eastwood,,,,,,2,
RP-Street Lighting Repairs,Edgewood,,,1,,1,,
RP-Street Lighting Repairs,Edmondson Village,1,,,,,,1
RP-Street Lighting Repairs,Ednor Gardens-Lakeside,1,,,,,,1
RP-Street Lighting Repairs,Ellwood Park/Monument,2,3,5,,,4,2
RP-Street Lighting Repairs,Evesham Park,,,1,,,,
RP-Street Lighting Repairs,Fallstaff,,,,,,1,
RP-Street Lighting Repairs,Federal Hill,,2,5,2,8,13,10
RP-Street Lighting Repairs,Fells Point,4,1,2,,,1,7
RP-Street Lighting Repairs,Forest Park,,1,,,,,
RP-Street Lighting Repairs,Frankford,,4,,1,1,5,2
RP-Street Lighting Repairs,Franklin Square,,5,4,3,,,4
RP-Street Lighting Repairs,Franklintown,,,,,,,1
RP-Street Lighting Repairs,Franklintown Road,,1,,,,1,
RP-Street Lighting Repairs,Gay Street,,1,,,,2,2
RP-Street Lighting Repairs,Glen,,,1,,,,2
RP-Street Lighting Repairs,Glen Oaks,,,1,,,,
RP-Street Lighting Repairs,Glenham-Belhar,,,,1,1,,
RP-Street Lighting Repairs,Greektown,1,,1,,1,,
RP-Street Lighting Repairs,Greenmount Cemetery,,,1,,,,
RP-Street Lighting Repairs,Greenmount West,,,1,1,,,1
RP-Street Lighting Repairs,Greenspring,,1,,,,,
RP-Street Lighting Repairs,Guilford,,1,1,2,,,
RP-Street Lighting Repairs,Gwynns Falls/Leakin Park,1,1,,,,2,2
RP-Street Lighting Repairs,Hamilton,,,,,,,1
RP-Street Lighting Repairs,Hamilton Hills,,,1,1,,,2
RP-Street Lighting Repairs,Hampden,,,2,1,,6,1
RP-Street Lighting Repairs,Hanlon-Longwood,,,,,,,1
RP-Street Lighting Repairs,Harlem Park,1,3,4,3,2,1,4
RP-Street Lighting Repairs,Harwood,,1,,1,,,1
RP-Street Lighting Repairs,Hawkins Point,,,1,,,,
RP-Street Lighting Repairs,Heritage Crossing,,,,,,1,3
RP-Street Lighting Repairs,Herring Run Park,,2,,,,,2
RP-Street Lighting Repairs,Highlandtown,,1,,2,2,4,7
RP-Street Lighting Repairs,Hillen,1,,,,,,
RP-Street Lighting Repairs,Hoes Heights,1,,,,,,
RP-Street Lighting Repairs,Holabird Industrial Park,,,,,,1,3
RP-Street Lighting Repairs,Hollins Market,,1,,,2,3,2
RP-Street Lighting Repairs,Homeland,,,1,,1,,
RP-Street Lighting Repairs,Hopkins Bayview,,,1,,,,
RP-Street Lighting Repairs,Hunting Ridge,,,,1,,,1
