SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
TRS-Parking Complaint,(blank),62,37,11,2,1,,11
TRS-Parking Complaint,Abell,38,82,29,28,20,17,42
TRS-Parking Complaint,AISQUITH ST,,,,,,,1
TRS-Parking Complaint,Allendale,71,102,83,63,134,131,198
TRS-Parking Complaint,Arcadia,24,25,41,26,39,54,35
TRS-Parking Complaint,Arlington,44,43,58,42,33,24,31
TRS-Parking Complaint,Armistead Gardens,24,31,43,37,29,35,24
TRS-Parking Complaint,ARUNAH AVE,,,,,,,1
TRS-Parking Complaint,Ashburton,35,37,47,36,51,39,50
TRS-Parking Complaint,Auchentoroly-Parkwood,,,,,,,39
TRS-Parking Complaint,Baltimore Highlands,262,368,250,150,220,318,335
TRS-Parking Complaint,Baltimore Peninsula,,,,,,,2
TRS-Parking Complaint,BANK ST,,,,,,,3
TRS-Parking Complaint,Barclay,109,85,88,56,73,130,190
TRS-Parking Complaint,BARCLAY ST,,,,,,,1
TRS-Parking Complaint,Barre Circle,80,187,52,58,125,88,108
TRS-Parking Complaint,Bayview,519,345,261,269,202,301,247
TRS-Parking Complaint,Beechfield,52,76,96,62,89,86,85
TRS-Parking Complaint,Belair-Edison,559,572,669,680,967,966,941
TRS-Parking Complaint,Belair-Parkside,6,5,4,8,45,28,9
TRS-Parking Complaint,Bellona-Gittings,5,1,3,2,2,,2
TRS-Parking Complaint,Belvedere,126,64,19,32,60,27,24
TRS-Parking Complaint,Berea,74,83,107,97,86,123,134
TRS-Parking Complaint,Better Waverly,130,94,60,77,96,113,128
TRS-Parking Complaint,Beverly Hills,7,9,27,15,14,20,35
TRS-Parking Complaint,Biddle Street,38,28,18,21,24,18,26
TRS-Parking Complaint,Blythewood,4,2,2,2,3,,
TRS-Parking Complaint,Bolton Hill,710,603,750,330,495,443,580
TRS-Parking Complaint,BOSTON ST,,,,,,,1
TRS-Parking Complaint,Boyd-Booth,16,23,6,2,8,9,18
TRS-Parking Complaint,Brewers Hill,100,110,106,69,128,279,178
TRS-Parking Complaint,Bridgeview/Greenlawn,45,69,62,36,33,101,88
TRS-Parking Complaint,Broadway East,56,51,51,86,67,79,136
TRS-Parking Complaint,Broening Manor,38,64,75,36,48,46,52
TRS-Parking Complaint,Brooklyn,203,203,183,197,245,234,222
TRS-Parking Complaint,BRUNSWICK ST,,,,,,,1
TRS-Parking Complaint,Burleith-Leighton,8,7,10,13,17,41,11
TRS-Parking Complaint,Butchers Hill,,,,,,,195
TRS-Parking Complaint,Butcher's Hill,288,372,193,130,168,289,272
TRS-Parking Complaint,Callaway-Garrison,16,19,19,18,43,25,39
TRS-Parking Complaint,Cameron Village,74,26,19,8,23,19,36
TRS-Parking Complaint,Canton,2215,2129,1429,1204,1823,1612,1840
TRS-Parking Complaint,Canton Industrial Area,27,42,43,57,82,48,42
TRS-Parking Complaint,CARE,285,253,224,186,221,188,250
TRS-Parking Complaint,Carroll - Camden Industrial Area,11,19,37,26,18,89,140
TRS-Parking Complaint,Carroll Park,6,4,5,9,6,7,2
TRS-Parking Complaint,Carroll-South Hilton,31,46,64,19,48,43,125
TRS-Parking Complaint,Carrollton Ridge,197,153,104,42,71,52,55
TRS-Parking Complaint,Cedarcroft,2,4,5,2,,8,4
TRS-Parking Complaint,Cedmont,115,118,59,64,74,85,72
TRS-Parking Complaint,Cedonia,58,65,63,74,116,88,89
TRS-Parking Complaint,Central Forest Park,18,31,31,21,10,13,22
TRS-Parking Complaint,Central Park Heights,72,89,99,111,152,140,135
TRS-Parking Complaint,Charles North,203,118,144,53,110,161,333
TRS-Parking Complaint,Charles Village,233,325,250,142,346,408,448
TRS-Parking Complaint,Cherry Hill,55,84,125,97,140,107,64
TRS-Parking Complaint,Cheswolde,19,29,36,14,33,27,68
TRS-Parking Complaint,Chinquapin Park,24,28,50,23,42,42,26
TRS-Parking Complaint,Citywide,31675,32493,29182,21014,30348,31747,39196
TRS-Parking Complaint,CLIFFORD ST,,,,,,,1
TRS-Parking Complaint,Clifton Park,28,8,13,14,8,4,23
TRS-Parking Complaint,COLBORNE RD,,,,,,,1
TRS-Parking Complaint,Coldspring,20,18,24,10,25,14,22
TRS-Parking Complaint,Coldstream Homestead Montebello,275,169,200,130,153,237,236
TRS-Parking Complaint,Concerned Citizens Of Forest Park,31,59,23,7,16,34,53
TRS-Parking Complaint,Coppin Heights/Ash-Co-East,47,48,60,33,38,65,128
TRS-Parking Complaint,CRISP ST,,,,,,,2
TRS-Parking Complaint,Cross Country,29,35,37,33,24,43,57
TRS-Parking Complaint,Cross Keys,6,4,5,4,2,5,5
TRS-Parking Complaint,CUMBERLAND ST,,,,,,,1
TRS-Parking Complaint,Curtis Bay,89,58,117,159,158,144,140
TRS-Parking Complaint,Curtis Bay Industrial Area,1,1,,,4,2,2
TRS-Parking Complaint,Cylburn,48,33,41,23,58,58,60
TRS-Parking Complaint,Darley Park,25,15,31,14,77,20,19
TRS-Parking Complaint,Dickeyville,2,,1,1,5,3,4
TRS-Parking Complaint,Dolfield,22,27,11,13,41,52,31
TRS-Parking Complaint,Dorchester,29,32,37,31,20,23,40
TRS-Parking Complaint,Downtown,1065,973,925,744,1086,880,1291
TRS-Parking Complaint,Downtown West,146,195,162,38,43,27,79
TRS-Parking Complaint,Druid Heights,30,24,37,26,16,15,41
TRS-Parking Complaint,Druid Hill Park,8,9,5,5,5,1,8
TRS-Parking Complaint,Dunbar-Broadway,91,115,45,63,152,158,153
TRS-Parking Complaint,Dundalk Marine Terminal,,,,1,1,,
TRS-Parking Complaint,E 28TH ST,,,,,,,1
TRS-Parking Complaint,E 29TH ST,,,,,,,1
TRS-Parking Complaint,E BALTIMORE ST,,,,,,,2
TRS-Parking Complaint,E CHASE ST,,,,,,,1
TRS-Parking Complaint,E EAGER ST,,,,,,,1
TRS-Parking Complaint,E FAIRMOUNT AVE,,,,,,,2
TRS-Parking Complaint,E FAYETTE ST,,,,,,,1
TRS-Parking Complaint,E FEDERAL ST,,,,,,,1
TRS-Parking Complaint,E FORT AVE,,,,,,,1
TRS-Parking Complaint,E LOMBARD ST,,,,,,,1
TRS-Parking Complaint,E NORTH AVE,,,,,,,1
TRS-Parking Complaint,E OSTEND ST,,,,,,,1
TRS-Parking Complaint,E PRATT ST,,,,,,,1
TRS-Parking Complaint,E UNIVERSITY PKWY,,,,,,,1
TRS-Parking Complaint,E WEST ST,,,,,,,1
TRS-Parking Complaint,East Arlington,19,23,28,26,49,64,29
TRS-Parking Complaint,East Baltimore Midway,135,202,141,111,94,114,159
TRS-Parking Complaint,EASTBOURNE AVE,,,,,,,1
TRS-Parking Complaint,EASTERN AVE,,,,,,,1
TRS-Parking Complaint,Easterwood,58,43,57,12,12,23,105
TRS-Parking Complaint,Eastwood,50,63,27,20,47,37,36
TRS-Parking Complaint,Edgewood,59,53,62,70,50,70,141
TRS-Parking Complaint,Edmondson Village,102,83,99,88,105,132,203
TRS-Parking Complaint,Ednor Gardens-Lakeside,85,97,129,110,116,112,145
TRS-Parking Complaint,ELLICOTT DR,,,,,,,1
TRS-Parking Complaint,Ellwood Park/Monument,94,93,71,80,117,139,185
TRS-Parking Complaint,ERDMAN AVE,,,,,,,1
TRS-Parking Complaint,Evergreen,9,8,5,,18,16,25
TRS-Parking Complaint,Evergreen Lawn,77,105,67,26,66,91,166
TRS-Parking Complaint,Evesham Park,9,2,5,10,16,13,11
TRS-Parking Complaint,Fairfield Area,10,4,10,25,25,30,29
TRS-Parking Complaint,Fairmont,3,9,7,1,,10,4
TRS-Parking Complaint,Fairmount,,,,,,,2
TRS-Parking Complaint,Fallstaff,60,79,80,47,79,88,88
TRS-Parking Complaint,Federal Hill,725,546,430,354,593,809,1668
TRS-Parking Complaint,Fells Point,753,796,597,658,907,993,1149
TRS-Parking Complaint,Forest Park,44,37,55,13,23,24,37
TRS-Parking Complaint,Forest Park Golf Course,3,3,,4,5,11,4
TRS-Parking Complaint,Four By Four,22,58,38,32,52,32,54
TRS-Parking Complaint,Frankford,339,327,596,344,484,599,439
TRS-Parking Complaint,Franklin Square,84,37,27,33,52,52,59
TRS-Parking Complaint,Franklintown,4,6,6,9,7,6,5
TRS-Parking Complaint,Franklintown Road,47,67,93,59,91,119,148
TRS-Parking Complaint,FREDERICK AVE,,,,,,,1
TRS-Parking Complaint,Garwyn Oaks,11,14,24,15,9,22,17
TRS-Parking Complaint,Gay Street,72,47,60,38,57,50,88
TRS-Parking Complaint,GEORGETOWN RD,,,,,,,1
TRS-Parking Complaint,Glen,67,84,67,57,92,88,134
TRS-Parking Complaint,Glen Oaks,83,58,44,58,81,43,73
TRS-Parking Complaint,Glenham-Belhar,172,139,123,108,126,157,69
TRS-Parking Complaint,GOUGH ST,,,,,,,1
TRS-Parking Complaint,Graceland Park,63,97,62,42,85,64,81
TRS-Parking Complaint,Greektown,436,446,475,202,360,375,543
TRS-Parking Complaint,Greenmount Cemetery,1,1,2,1,,,
TRS-Parking Complaint,Greenmount West,62,90,102,82,116,124,96
TRS-Parking Complaint,Greenspring,51,36,60,76,57,70,82
TRS-Parking Complaint,Grove Park,49,36,47,23,33,42,55
TRS-Parking Complaint,Guilford,44,43,59,43,61,83,134
TRS-Parking Complaint,Gwynns Falls,46,50,42,20,60,88,33
TRS-Parking Complaint,Gwynns Falls/Leakin Park,5,5,3,2,8,7,8
TRS-Parking Complaint,Hamilton,,,,,,,80
TRS-Parking Complaint,Hamilton Hills,115,176,133,113,187,135,152
TRS-Parking Complaint,Hampden,838,832,678,339,387,508,703
TRS-Parking Complaint,Hanlon-Longwood,85,62,85,50,107,84,121
TRS-Parking Complaint,Harbor East,,,,,,,118
TRS-Parking Complaint,Harbor Point,,,,,,,8
TRS-Parking Complaint,Harlem Park,45,54,47,19,82,87,163
TRS-Parking Complaint,Harwood,23,64,67,45,80,68,74
TRS-Parking Complaint,Hawkins Point,,3,4,2,4,4,8
TRS-Parking Complaint,Heritage Crossing,2,2,5,1,2,3,7
TRS-Parking Complaint,Herring Run Park,11,7,1,1,5,3,22
TRS-Parking Complaint,Highlandtown,347,468,746,482,236,314,253
TRS-Parking Complaint,Hillen,53,82,58,64,86,87,63
TRS-Parking Complaint,Hoes Heights,58,38,39,24,83,32,44
TRS-Parking Complaint,Holabird Industrial Park,17,32,43,3,20,20,40
TRS-Parking Complaint,Hollins Market,199,170,122,119,63,101,192
TRS-Parking Complaint,HOLLINS ST,,,,,,,2
TRS-Parking Complaint,Homeland,40,63,45,23,77,242,143
TRS-Parking Complaint,HOMEWOOD AVE,,,,,,,1
TRS-Parking Complaint,Hopkins Bayview,47,46,15,18,7,18,52
TRS-Parking Complaint,Howard Park,94,100,105,95,121,152,180
TRS-Parking Complaint,Hunting Ridge,20,14,15,23,26,8,14
TRS-Parking Complaint,Idlewood,49,76,80,66,137,109,160
TRS-Parking Complaint,Inner Harbor,229,250,250,128,190,248,336
TRS-Parking Complaint,Irvington,105,161,82,100,167,200,184
TRS-Parking Complaint,Johns Hopkins Homewood,30,11,13,6,9,9,68
TRS-Parking Complaint,Johnston Square,66,48,44,42,45,164,315
TRS-Parking Complaint,Jones Falls Area,23,28,73,9,27,46,20
TRS-Parking Complaint,Jonestown,134,115,71,29,72,61,46
TRS-Parking Complaint,Kenilworth Park,14,28,19,23,47,17,14
TRS-Parking Complaint,Kernewood,42,26,10,21,34,46,71
TRS-Parking Complaint,Keswick,7,3,4,4,8,12,17
TRS-Parking Complaint,Key Highway,,,,,,,1
TRS-Parking Complaint,KOKO LN,,,,,,,1
TRS-Parking Complaint,Kresson,87,49,75,34,53,32,34
TRS-Parking Complaint,Lake Evesham,16,6,6,4,9,6,8
TRS-Parking Complaint,Lake Walker,19,10,15,10,23,35,24
TRS-Parking Complaint,Lakeland,85,106,87,48,94,78,72
TRS-Parking Complaint,LAMLEY ST,,,,,,,1
TRS-Parking Complaint,Langston Hughes,3,6,15,19,41,20,28
TRS-Parking Complaint,Lauraville,215,133,82,67,91,134,105
TRS-Parking Complaint,LAURENS ST,,,,,,,1
TRS-Parking Complaint,Levindale,34,29,45,8,17,17,37
TRS-Parking Complaint,Liberty Square,13,6,9,13,15,19,9
TRS-Parking Complaint,LINNARD ST,,,,,,,1
TRS-Parking Complaint,Little Italy,122,725,874,244,438,467,395
TRS-Parking Complaint,Loch Raven,262,248,255,144,178,235,180
TRS-Parking Complaint,LOCH RAVEN BLVD,,,,,,,1
TRS-Parking Complaint,Locust Point,361,486,484,373,237,176,310
TRS-Parking Complaint,Locust Point Industrial Area,85,58,55,42,18,48,31
TRS-Parking Complaint,Lower Edmondson Village,10,12,19,6,10,4,6
TRS-Parking Complaint,Lower Herring Run Park,4,4,1,5,5,12,4
TRS-Parking Complaint,Loyola/Notre Dame,14,28,38,7,44,33,47
TRS-Parking Complaint,Lucille Park,31,13,10,17,20,42,29
TRS-Parking Complaint,MADISON AVE,,,,,,,2
TRS-Parking Complaint,Madison Park,39,46,45,10,28,28,87
TRS-Parking Complaint,Madison-Eastend,46,43,23,48,67,69,130
TRS-Parking Complaint,MARX AVE,,,,,,,2
TRS-Parking Complaint,MARYLAND AVE,,,,,,,2
TRS-Parking Complaint,Mayfield,21,22,16,22,28,25,29
TRS-Parking Complaint,MCCABE AVE,,,,,,,1
TRS-Parking Complaint,McElderry Park,147,97,95,77,127,139,170
TRS-Parking Complaint,MCELDERRY ST,,,,,,,1
TRS-Parking Complaint,Medfield,99,128,147,95,78,98,89
TRS-Parking Complaint,Medford,30,47,26,19,32,35,29
TRS-Parking Complaint,Middle Branch/Reedbird Parks,4,7,8,3,6,6,5
TRS-Parking Complaint,Middle East,411,288,246,182,181,214,349
TRS-Parking Complaint,Mid-Govans,86,17,40,38,36,29,48
TRS-Parking Complaint,Mid-Town Belvedere,672,737,391,245,234,437,500
TRS-Parking Complaint,Midtown-Edmondson,17,32,42,13,19,48,36
TRS-Parking Complaint,MIDWOOD AVE,,,,,,,1
TRS-Parking Complaint,Millhill,56,64,60,25,16,49,91
TRS-Parking Complaint,Milton-Montford,72,50,49,27,17,48,60
TRS-Parking Complaint,Mondawmin,55,62,46,34,69,70,92
TRS-Parking Complaint,Montebello,3,5,13,13,9,6,17
TRS-Parking Complaint,Moravia-Walther,19,32,42,14,44,22,46
TRS-Parking Complaint,MORELAND AVE,,,,,,,1
TRS-Parking Complaint,Morgan Park,8,2,1,1,3,2,5
TRS-Parking Complaint,Morgan State University,15,10,4,3,32,23,10
TRS-Parking Complaint,Morrell Park,91,123,148,102,189,261,285
TRS-Parking Complaint,Mosher,27,15,16,14,15,37,39
TRS-Parking Complaint,Mount Clare,,,,,,,29
TRS-Parking Complaint,Mount Holly,21,26,54,23,36,47,74
TRS-Parking Complaint,Mount Vernon,534,594,719,305,370,394,465
TRS-Parking Complaint,Mount Washington,57,61,42,22,48,21,18
TRS-Parking Complaint,Mount Winans,17,35,44,21,109,41,56
TRS-Parking Complaint,Mt Pleasant Park,1,,3,1,,,
TRS-Parking Complaint,N ANN ST,,,,,,,1
TRS-Parking Complaint,N BROADWAY,,,,,,,1
TRS-Parking Complaint,N CAREY ST,,,,,,,1
TRS-Parking Complaint,N CARROLLTON AVE,,,,,,,1
TRS-Parking Complaint,N CHARLES ST,,,,,,,2
TRS-Parking Complaint,N ELLWOOD AVE,,,,,,,1
TRS-Parking Complaint,N KENWOOD AVE,,,,,,,3
TRS-Parking Complaint,N LUZERNE AVE,,,,,,,1
TRS-Parking Complaint,N MADEIRA ST,,,,,,,1
TRS-Parking Complaint,N MONTFORD AVE,,,,,,,1
TRS-Parking Complaint,N PAYSON ST,,,,,,,1
TRS-Parking Complaint,N ROCK GLEN RD,,,,,,,1
TRS-Parking Complaint,N ROSEDALE ST,,,,,,,1
TRS-Parking Complaint,N SMALLWOOD ST,,,,,,,1
TRS-Parking Complaint,N STREEPER ST,,,,,,,1
TRS-Parking Complaint,N WASHINGTON ST,,,,,,,1
TRS-Parking Complaint,New Northwood,71,60,121,44,107,81,139
TRS-Parking Complaint,New Southwest/Mount Clare,78,43,51,25,36,35,40
TRS-Parking Complaint,NEWINGTON AVE,,,,,,,1
TRS-Parking Complaint,North Harford Road,165,106,91,51,114,101,165
TRS-Parking Complaint,North Roland Park/Poplar Hill,9,5,4,3,13,7,11
TRS-Parking Complaint,Northwest Community Action,19,30,29,18,42,31,53
